element,opponent_team,was_home,minutes,total_points,goals_scored,assists,expected_goals,expected_assists,clean_sheets,avg_minutes,avg_points,avg_goals,avg_xG,avg_assists,avg_xA,clean_sheets_last3,opponent_strength,element_type_1,element_type_2,element_type_3,element_type_4
3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
3,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
3,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,0,0,1,0
4,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.2,0,0,1,0
4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,10,1,34.0,7.0,0.0,2.0,0.04,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,14,1,13.0,4.0,0.0,1.0,0.0,0.01,0.0,11.33,2.33,0.0,0.01,0.67,0.07,0,0.7,0,0,1,0
4,9,0,79.0,3.0,0.0,0.0,0.37,0.06,1.0,15.67,3.67,0.0,0.01,1.0,0.08,0,0.3,0,0,1,0
4,18,1,45.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,4.67,0.0,0.14,1.0,0.1,1,0.7,0,0,1,0
4,3,0,14.0,1.0,0.0,0.0,0.0,0.03,0.0,45.67,2.67,0.0,0.12,0.33,0.02,1,0.5,0,0,1,0
4,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.67,0.0,0.12,0.0,0.03,1,1.0,0,0,1,0
4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67,0.67,0.0,0.0,0.0,0.01,0,0.7,0,0,1,0
4,17,1,17.0,6.0,1.0,0.0,0.79,0.02,0.0,4.67,0.33,0.0,0.0,0.0,0.01,0,0.1,0,0,1,0
4,15,0,11.0,1.0,0.0,0.0,0.0,0.01,0.0,5.67,2.0,0.33,0.26,0.0,0.01,0,0.7,0,0,1,0
4,6,1,23.0,-2.0,0.0,0.0,0.0,0.0,0.0,9.33,2.33,0.33,0.26,0.0,0.01,0,0.1,0,0,1,0
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.67,0.33,0.26,0.0,0.01,0,0.3,0,0,1,0
4,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,-0.33,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,-0.67,0.0,0.0,0.0,0.0,0,0.2,0,0,1,0
4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
4,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,0,0,1,0
4,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,1,0
4,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,0,0,1,0
4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,0,0,1,0
4,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
